configuration,seed,final_mse,final_fitness,best_observed_mse,generation_best,generations_run,runtime_s,ga_elapsed_s,stop_reason,source,saved_config
boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b,1,0.06758323638964335,0.9366951127687274,0.06736129280301621,274,300,4.980915624997579,4.451374916010536,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b/seed_1/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 1, ""selection_method"": ""boltzmann"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b,2,0.07938583753973864,0.9264527708454243,0.07938583753973864,300,300,5.07022799999686,4.511210500000743,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b/seed_2/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 2, ""selection_method"": ""boltzmann"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b,3,0.07401746640043325,0.9310835543033555,0.071722986609782,249,300,4.85382279199257,4.31158283300465,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b/seed_3/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 3, ""selection_method"": ""boltzmann"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b,4,0.07109518588797527,0.9336238395759057,0.07101119503251438,257,300,5.115097416011849,4.54686975000368,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b/seed_4/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 4, ""selection_method"": ""boltzmann"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b,5,0.07261621626090875,0.9322999082430009,0.07105411979676965,280,300,4.6891361250018235,4.162556208000751,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/boltzmann_one_point_gene_t50_p30_g300_6e1f0fe7226b/seed_5/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 5, ""selection_method"": ""boltzmann"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
elite_one_point_gene_t50_p30_g300_8e05d8cbd25f,1,0.0597292852624921,0.9436372231161875,0.0597292852624921,300,300,5.120020458998624,4.39025149999361,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/elite_one_point_gene_t50_p30_g300_8e05d8cbd25f/seed_1/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 1, ""selection_method"": ""elite"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
elite_one_point_gene_t50_p30_g300_8e05d8cbd25f,2,0.05813324403765301,0.9450605636244576,0.05813324403765301,300,300,5.10148116700293,4.4853234589973,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/elite_one_point_gene_t50_p30_g300_8e05d8cbd25f/seed_2/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 2, ""selection_method"": ""elite"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
elite_one_point_gene_t50_p30_g300_8e05d8cbd25f,3,0.05677725440587367,0.9462732054752692,0.05677725440587367,297,300,5.713183208004921,5.088176292003482,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/elite_one_point_gene_t50_p30_g300_8e05d8cbd25f/seed_3/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 3, ""selection_method"": ""elite"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
elite_one_point_gene_t50_p30_g300_8e05d8cbd25f,4,0.056812494780750164,0.9462416511336416,0.056812494780750164,300,300,5.09954787499737,4.3572024579916615,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/elite_one_point_gene_t50_p30_g300_8e05d8cbd25f/seed_4/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 4, ""selection_method"": ""elite"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
elite_one_point_gene_t50_p30_g300_8e05d8cbd25f,5,0.05371071672185636,0.9490270755820411,0.05371071672185636,298,300,5.583321124999202,4.7181517080025515,maximum generations reached,/Users/hannahkalager/72.27-Delivery-2/results/pilot_argentina_100/elite_one_point_gene_t50_p30_g300_8e05d8cbd25f/seed_5/triangles.json,"{""boltzmann_temperature"": 1.0, ""crossover_method"": ""one_point"", ""crossover_rate"": 0.9, ""extra"": {}, ""min_error"": null, ""mutation_method"": ""gene"", ""mutation_rate"": 0.05, ""n_generations"": 300, ""n_triangles"": 50, ""population_size"": 30, ""random_seed"": 5, ""selection_method"": ""elite"", ""survival_strategy"": ""additive"", ""target_image_path"": ""/Users/hannahkalager/72.27-Delivery-2/data/flag_100.png"", ""tournament_probability"": 0.75, ""tournament_size"": 3}"
