experiment,configuration,runs,median_mse,mean_mse,std_mse,iqr_mse,median_fitness,ga_runtime_runs,median_ga_runtime_s,runtime_runs,median_runtime_s,median_generation_best
selection,boltzmann,5,0.037975661966241275,0.03798092280471117,0.00207540664776265,0.0014854220667815804,0.9634137260075021,5,22.557744375008042,5,23.21364920900669,996.0
selection,elite,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
selection,ranking,5,0.028218079894829533,0.02813618599959486,0.002558157661872189,0.004120244074859541,0.9725563278388222,5,23.141929207995418,5,23.854940459001227,1000.0
selection,roulette,5,0.037975661966241275,0.03798092280471117,0.00207540664776265,0.0014854220667815804,0.9634137260075021,5,22.563727459011716,5,23.219751249998808,996.0
selection,tournament_deterministic,5,0.027659188153439745,0.026491635392508255,0.00242742091793497,0.0037397221085355876,0.9730852519275972,5,22.95129262500268,5,23.590320125003927,1000.0
selection,tournament_probabilistic,5,0.030700121954748593,0.030640535774081934,0.0017330683825771515,0.0015977882782883292,0.9702143025882978,5,24.374946292009554,5,25.052813541988144,999.0
selection,universal,5,0.028031952144129842,0.029326966882051154,0.0030981112733652954,0.003268717986878493,0.9727324115892851,5,22.550976209007786,5,23.220631667005364,996.0
crossover,one_point,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
crossover,two_point,5,0.03016179963868322,0.029511350555824274,0.0026737502436237734,0.0038465131277052346,0.9707212986840882,5,22.962793917002273,5,23.704072916996665,999.0
crossover,uniform,5,0.02316039901940114,0.02350877189501143,0.0019626611277851836,0.0012602382044953758,0.9773638629470041,5,23.14808820800681,5,23.78902908299642,998.0
triangles,20,5,0.023789679734428033,0.02437016879364016,0.002931771386545189,0.0033880864679837787,0.9767631182406535,5,12.5401297500066,5,13.17101270800049,996.0
triangles,50,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
triangles,100,5,0.03460913048331287,0.03381248006349914,0.003213892418006945,0.0035100097977204814,0.9665485936054465,5,41.28849424999498,5,41.98150683399581,999.0
population,50,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
population,100,5,0.020926262438350846,0.020342281091226287,0.0010913270888418497,0.0017703951747260124,0.9795026700671103,5,44.72709600000235,5,45.427429542003665,1000.0
population,200,5,0.015187726804826928,0.014727331671441505,0.004265663961674439,0.006411132194813407,0.9850394893438791,5,89.03840016698814,5,89.7979422500066,999.0
survival,additive,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
survival,exclusive,5,0.05330085533686382,0.05284586027706466,0.0011918318612222222,0.0017281748541710593,0.949396361859198,5,23.546627582996734,5,24.239616375009064,839.0
mutation,complete,5,0.04726347351928332,0.04726633858772267,0.0017526101820508262,0.0019084330675133154,0.9548695483855113,5,23.000457500005723,5,23.668410583995865,559.0
mutation,gene,5,0.03014898570855709,0.02973703645826874,0.0017315750059261044,0.0022493151930812333,0.9707333733985867,5,22.608016874990426,5,23.303706417005742,997.0
mutation,multigene,5,0.005241058649898922,0.006542099357980595,0.002120678314181178,0.0031671714353040392,0.9947862668314225,5,23.478653750004014,5,24.14257662500313,1000.0
mutation,uniform,5,0.005719931539978421,0.005150723667075939,0.0011995626216885734,0.001445792147767815,0.9943125999986696,5,23.552886333010974,5,24.208221666005556,999.0
